                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                  1.338,                 1.3707,                 1.8136,                 1.3789,                  1.574,                 1.7957,                0.53614,                0.72487,                0.65343,                0.35315,                 1.0651,                 4.5458,                 1.4836,                 1.0245,                 1.5133,                 1.4053,              0.0011684,              0.0011684,              0.0011684
                     24,                 1.3008,                 1.3351,                 1.7714,                  1.365,                 1.5067,                 1.7738,                0.65494,                0.62434,                 0.6913,                0.39855,                0.99376,                 4.9646,                 1.4259,                0.99912,                 1.8927,                 1.4025,              0.0011288,              0.0011288,              0.0011288
                     25,                 1.3136,                 1.3454,                 1.7823,                 1.3398,                   1.59,                 1.7565,                0.63565,                0.65079,                0.69816,                 0.4092,                0.97623,                 2.9743,                 1.3899,                 0.9338,                 1.4439,                 1.3079,              0.0010892,              0.0010892,              0.0010892
                     26,                 1.3003,                 1.2793,                  1.772,                 1.3264,                 1.4595,                 1.7469,                0.68172,                0.53968,                0.61627,                0.32652,                 1.0999,                 5.3813,                 1.5263,                 1.0938,                 1.9923,                 1.4222,              0.0010496,              0.0010496,              0.0010496
                     27,                 1.2698,                 1.2745,                 1.7377,                 1.3101,                  1.493,                 1.7141,                0.71041,                0.63492,                0.73282,                0.44555,                0.99419,                 3.0184,                 1.4153,                0.90655,                 1.4709,                 1.3204,                0.00101,                0.00101,                0.00101
                     28,                 1.2603,                  1.298,                 1.7074,                 1.2939,                 1.4762,                 1.7103,                0.67354,                0.71429,                0.72497,                0.43028,                0.96746,                 2.6241,                 1.3915,                0.94909,                 1.1387,                 1.3493,              0.0009704,              0.0009704,              0.0009704
                     29,                 1.2829,                 1.3152,                 1.7616,                 1.3204,                 1.4883,                 1.7544,                0.67626,                0.71958,                0.75005,                0.44656,                 1.0183,                 2.5417,                 1.4331,                0.98875,                 1.0852,                 1.3596,              0.0009308,              0.0009308,              0.0009308
                     30,                 1.2649,                 1.3048,                 1.7697,                 1.2933,                 1.4937,                 1.7413,                0.67146,                0.66667,                0.71063,                0.43002,                0.97963,                 2.4678,                 1.3878,                0.93009,                 1.2094,                 1.2882,              0.0008912,              0.0008912,              0.0008912
                     31,                  1.265,                 1.2905,                 1.7359,                 1.3073,                  1.457,                 1.7168,                0.80079,                0.57427,                 0.7323,                0.43214,                0.97506,                 4.3992,                 1.3667,                0.95019,                  1.525,                 1.3094,              0.0008516,              0.0008516,              0.0008516
                     32,                 1.1984,                 1.1855,                 1.6924,                 1.2412,                 1.4071,                 1.6932,                0.76771,                0.66451,                0.72956,                0.45289,                0.96704,                 2.5546,                 1.4077,                0.93084,                 1.1295,                 1.3169,               0.000812,               0.000812,               0.000812
                     33,                 1.1932,                 1.2076,                 1.7005,                 1.2397,                 1.3958,                 1.6987,                0.72961,                0.75668,                0.78547,                0.48887,                0.97073,                 4.0826,                 1.4257,                0.91411,                 1.4244,                 1.3294,              0.0007724,              0.0007724,              0.0007724
                     34,                  1.168,                 1.1726,                 1.6534,                 1.2172,                 1.3242,                 1.6526,                0.74306,                0.69312,                0.75427,                0.45259,                0.95148,                 3.1909,                 1.3641,                0.94922,                 1.1694,                 1.3084,              0.0007328,              0.0007328,              0.0007328
                     35,                 1.1695,                   1.11,                 1.6595,                  1.225,                 1.2766,                 1.6513,                  0.727,                0.66224,                 0.7494,                0.46916,                 1.0269,                 1.2859,                 1.4306,                0.94522,                0.86606,                 1.3588,              0.0006932,              0.0006932,              0.0006932
                     36,                 1.1927,                 1.1759,                 1.6897,                 1.2299,                 1.3665,                 1.6704,                 0.7145,                0.75478,                0.80249,                0.49963,                0.95664,                 2.5339,                 1.4014,                0.95628,                 1.0241,                 1.3495,              0.0006536,              0.0006536,              0.0006536
